model_id,task_id,score,reported_by,url,notes
smolvlm2-2.2b,mathvista,51.50,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,blink,42.30,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,infovqa,37.75,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
smolvlm2-2.2b,ocrbench,725,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,mm-ifeval,19.42,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2.5-vl-1.6b,mmstar,50.67,Liquid AI,https://www.liquid.ai/blog/introducing-lfm2-5-the-next-generation-of-on-device-ai#vision-and-text-benchmark-results,
lfm2.5-vl-1.6b,mm-ifeval,52.29,Liquid AI,https://www.liquid.ai/blog/introducing-lfm2-5-the-next-generation-of-on-device-ai#vision-and-text-benchmark-results,
lfm2.5-vl-1.6b,blink,48.82,Liquid AI,https://www.liquid.ai/blog/introducing-lfm2-5-the-next-generation-of-on-device-ai#vision-and-text-benchmark-results,
lfm2.5-vl-1.6b,infovqa,62.71,Liquid AI,https://www.liquid.ai/blog/introducing-lfm2-5-the-next-generation-of-on-device-ai#vision-and-text-benchmark-results,(val)
lfm2.5-vl-1.6b,ocrbenchv2,41.44,Liquid AI,https://www.liquid.ai/blog/introducing-lfm2-5-the-next-generation-of-on-device-ai#vision-and-text-benchmark-results,(val)
lfm2.5-vl-1.6b,rwqa,64.84,Liquid AI,https://www.liquid.ai/blog/introducing-lfm2-5-the-next-generation-of-on-device-ai#vision-and-text-benchmark-results,
lfm2.5-vl-1.6b,mmmu,40.56,Liquid AI,https://www.liquid.ai/blog/introducing-lfm2-5-the-next-generation-of-on-device-ai#vision-and-text-benchmark-results,
qwen3.5-397b-a17b,mmmu-pro,79.0,Qwen,https://qwen.ai/blog?id=qwen3.5#vision-language,
qwen3.5-397b-a17b,mmmu,85.0,Qwen,https://qwen.ai/blog?id=qwen3.5#vision-language,
qwen3.5-397b-a17b,mmstar,78.7,Qwen,https://qwen.ai/blog?id=qwen3.5#vision-language,
qwen3.5-397b-a17b,rwqa,81.3,Qwen,https://qwen.ai/blog?id=qwen3.5#vision-language,
qwen3.5-397b-a17b,simplevqa,61.3,Qwen,https://qwen.ai/blog?id=qwen3.5#vision-language,
